,Modules,Category,Include New Items?,Notes,Referenced in Applies To,Referenced as Format
LIS (IP 10) Filter,IP 10. Verdeling naar kostenplaatsen,Other,false,,'MA 15. COEA -> Rekeningcategorie',
LIS (IP 10d) Waarde Selectie,└ IP 10d. Calculatie seizoenspatronen,Other,false,,"'└ FI 07z. User Filters - Inflation Selection IP10d', 'IM 67. LIS (IP 10d) Waarde Selectie'",'IM 67. LIS (IP 10d) Waarde Selectie'.Item
LIS (IP 18a) Seizoenspatronen - DB/TS,└ IP 18a. Seizoenspatronen - DB/TS,Other,false,,,'IP 18. Doorbelasting & Toeslagen split'.Seizoenspatroon
LIS (IP 31) Netverder,IP 31. Netverder,Other,false,,'FI 15. Netverder dashboarding',
LIS (IM 42) KPI Filter,IM 43. KPI_Afdeling,Other,false,,"'IP 23. KPI Admin', 'CA 28. KPI Admin per KPI'",'FI 07. User filters - General'.KPI Filtering
LIS (RP 06) Samenvatting MJP,RP 06. samenvatting MJP,Other,false,,'└ RP 06b. Variantie Analyse',
LIS (RP 07) Formatieontwikkeling,RP 07. formatie ontwikkeling,Other,false,,'└ RP 07a. Variantie Analyse',
LIS (RP 08) Formatie MJP,RP 08. Formatie MJP,Other,false,,'└ RP 08a. Variantie Analyse',
LIS (RP 08) Formatie MJP 2,RP 08. Formatie MJP,Other,false,,'CA 14. FTE Versie Variance',
LIS (RP 20) Waarde Selectie,RP 20. COEA tabel per kostenplaats,Other,false,,"'└ FI 07ab. User Filters - Inflation Selection RP20', 'IM 68. LIS (RP 20) Waarde Selectie'",'IM 68. LIS (RP 20) Waarde Selectie'.Item
LIS (RP 10a) capex mapping Themas L3,└ RP 10a. MJP CAPEX - Specificatie,Other,true,,"'└ RP 10a. MJP CAPEX - LIS Based', '└ FI 07ah. User Filters - Suppress Zeroes CAPEX'","'└ RP 10a. MJP CAPEX - LIS Based'.Item, 'MA 02. Mapping Thema verrijking -> SIP'.'Mapping RP10a'"
LIS (RP 11a) opex mapping Thema's L3,└ RP 11a. MJP OPEX - Specificatie,Other,true,,,'MA 02. Mapping Thema verrijking -> SIP'.'Mapping RP11a'
LIS (RP 12a) extern mapping Thema's L3,└ RP 12a. MJP Extern - Specificatie,Other,true,,,'MA 02. Mapping Thema verrijking -> SIP'.'Mapping RP12a'
LIS (CA 21) UMD - Activiteit L4+,CA 21. Berekend UMDT op Activiteit,Other,false,,"'DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie', '└ CA 21c. UMDT + Inflatie (L4+)', '└CA 35b. Monthly allocation Activity L4+ to UMDT', '└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy', '└ FI 07ae. User Filters - Suppress Zeroes CA 35c', 'IM 74. LIS CA21 Mappings'","'IM 99. Lookup lists'.'LIS CA 21 UMDT', 'IM 77. UMDT Items to CA21 SS & CA 23 SS'.'Mapping to CA 21 SS', 'MA 03. LIS DA04 to Rekeningcategorie'.'CA 21'"
LIS (CA 22a) Indirecte toeslagen,└ CA 22a. Berekening toeslagen,Other,false,,"'└ CA 22c. Collect indirecte toeslagen', 'CA 38. Toeslagen GBR'.'Allocation key - Toeslagen indirect', 'CA 38. Toeslagen GBR'.Toeslag indirect naar soort, 'CA 38. Toeslagen GBR'.Toeslag indirect naar soort zonder afdeling, 'MA 63 LIS CA22a to DB/TS Items'","'IM 99. Lookup lists'.Indirecte toeslag, 'MA 63 LIS CA22a to DB/TS Items'.'Mapping #2'"
LIS (CA 22a) Toeslagen,└ CA 22a. Berekening toeslagen,Other,false,,'└ CA 22b. Collect toeslagen',"'IM 99. Lookup lists'.'CA 22a - Netwerkontwikkeling', 'IM 99. Lookup lists'.'CA 22a - VGMK', 'IM 99. Lookup lists'.'CA 22a - Inkoop', 'IM 99. Lookup lists'.'CA 22a - Bedrijfsvoering', 'MA 59.TS -> CA22a'.'CA 22a'"
LIS (CA 23) UMD - Thema's L3 +,CA 23. Berekend UMDT op L3++ Thema's,Other,false,,"'DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie', '└ CA 23c. UMDT + Inflatie (L3+)', '└CA 35e. Monthly allocation Thema L3++ to UMDT', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', 'IM 75. LIS CA23 Mappings'","'IM 99. Lookup lists'.'LIS CA 23 UMDT', 'IM 77. UMDT Items to CA21 SS & CA 23 SS'.'Mapping to CA 23 SS', 'MA 03. LIS DA04 to Rekeningcategorie'.'CA 23'"
LIS (CA 24) kostencategorieen voor uurtarieven v2,CA 24. MJP Kosten uren uitvoeringskosten,Other,false,,"'IP 39. Dekking % Prestatiesoorten', 'CA 56. Opslag per uur', 'IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen'.'v2'","'IM 99. Lookup lists'.'LIS CA 24 Personeelskosten v2', 'IM 99. Lookup lists'.'LIS CA24 Totaal v2', 'IM 99. Lookup lists'.'LIS CA24 Totaal niet IAS 16 v2', 'MA 66. LIS CA 24 KC voor Uurtariefen'.'Mapping CA 24 MJP to Budget'"
LIS (CA 24) Kostencategorieen voor Uurtariefen,CA 24. MJP Kosten uren uitvoeringskosten,Other,false,,"'CA 25. Budget Uren uitvoeringskosten'.Dekking uren uitvoeringskosten Dummy Total, 'CA 25. MJP Uren uitvoeringskosten', 'IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen', 'MA 66. LIS CA 24 KC voor Uurtariefen'","'IM 99. Lookup lists'.'LIS CA24 Personeelskosten', 'IM 99. Lookup lists'.'LIS CA24 Totaal', 'IM 99. Lookup lists'.'LIS CA24 Totaal Niet IAS 16', 'IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen'.Item"
LIS (CA 24) Kostencategorieen voor Uurtariefen no time,CA 24. Budget Kosten uren uitvoeringskosten-TBD,Other,false,,"'CA 25. Budget Uren uitvoeringskosten', 'IM 45 LIS (CA 24) Kostencategorieen voor Uurtariefen no time'",'IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen'.'Mapping for CA 25'
LIS (CA24) kostencategorieen voor uutarieven,,Other,false,,,
LIS (CA 29) MJP,CA 29. MJP naar Afdelingen,Other,false,HV: Shouldnt this be using the list?,"'└  CA 29a. MJP naar Afdeling Collect', '└CA 41a. Netverder Inflatie - Naar rekeningcategori', 'RP 16. MJP Inflatie', 'MA 63. LIS (CA 29) MJP to rekeningcategorie', 'MA 64 LIS CA 29 to Rekeningcategorie', 'MA 60. LIS (CA 29) MJP to LIS (DA 04) cumulative'","'IM 99. Lookup lists'.'CA 29 - Activering', 'IM 99. Lookup lists'.'CA 29 - Omzet', 'IM 99. Lookup lists'.'CA 29 - Uren', 'IM 99. Lookup lists'.'CA 29 - Toeslag Direct', 'IM 99. Lookup lists'.'CA 29 - Toeslag Indirect', 'IM 99. Lookup lists'.'CA 29 - Personeelskosten', 'IM 99. Lookup lists'.'CA 29 - Doorbelastingen', 'IM 99. Lookup lists'.'CA 29 - Diensten Derden', 'IM 99. Lookup lists'.'CA 29 - Materiaal', 'IM 99. Lookup lists'.'CA 29 - Overig Kosten', 'IM 99. Lookup lists'.'CA 29 - IC', 'IM 99. Lookup lists'.'CA 29 - niet cf IAS 16', 'IM 99. Lookup lists'.'CA 29 - Totaal', 'IM 33. Rekeningcategorie'.'LIS 29', 'MA 10. Kostencategorieen <> subset (DAA)'.'LIS 29'"
LIS (IP 37) Loonkosten,,Other,false,,,
LIS (RP11a) OPEX - Specificatie,└ RP 11a. MJP OPEX - Specificatie,Other,false,,"'└ RP 11a. MJP OPEX - LIS Based', '└ FI 07ag. User Filters - Suppress Zeroes OPEX'",'└ RP 11a. MJP OPEX - LIS Based'.ITEM
