,Top Level,Parent Hierarchy,Selective Access,Production Data,Managed By,Has Workflow,Properties,Subsets,Numbered,Display Name Property,Is Organization,Category,Data Tags,Item Count,Notes,Referenced in Applies To,Referenced as Format,Referenced in Formula,Next item index,Use Top Level As Default Page
Afdelingsgroep L4,,Entiteit L3,true,true,,false,"Code update temp: Text, Old code: Text",,false,,false,,,98,,'IM 05a. Afdelingsgroep',"'LO 07. Kostenplaats'.AN Afdelingsgroep from code, 'LO 07. Kostenplaats'.AN Afdelingsgroep from display name, 'LO 07. Kostenplaats'.Overwrite Afdelingsgroep, 'LO 07. Kostenplaats'.Final Afdelingsgroep, 'LO 07. Kostenplaats'.Parent of Afdeling, 'FI 07. User filters - General'.Afdelingsgroep, 'IM 04. Entiteit'.BAK Afdelingsgroep, 'IM 05a. Afdelingsgroep'.ITEM, 'IM 13. Afdeling L5'.PARENT","'LO 07. Kostenplaats'.AN Afdelingsgroep from code, 'LO 07. Kostenplaats'.AN Afdelingsgroep from display name, 'IM 05a. Afdelingsgroep'.ITEM",72,false
Afdeling L5,,Afdelingsgroep L4,true,true,,false,"New code: Text, Remark: Text, Old code: Text","SS Afdeling L5 - Keten, SS Afdeling L5 - OPS (SIP), SS Afdeling L5 - OPS, SS Afdeling L5 - IC, SS Afdeling L5 - Doorbelastingen en toeslagen, SS Afdeling L5 - Budget Afdelingen",false,,false,,,194,,"'DA 02 NEW. Load FTEs from SPP', 'DA 07. Rapportage COEA', 'IP 02. IAS16 kosten (cumulatief)', 'CA 05. Risico & Kansen', '└ CA 11a. Verdeling naar maand overzicht', '└ CA 11a NEW. Verdeling naar maand overzicht', 'CA 19. Rekeningcategorie Allocatie', 'CA 23. Berekend UMDT op L3++ Thema''s'.'COE - Activiteit', '└ FI 07a. User Filters - MJP Drivers L6'.'User Filter - Afdeling L5', '└ FI 07c. User Filters - Afdeling L5', 'FI 11. Activiteit L4 +'.Afdeling planning filter, 'IM 05b. Afdeling - Do not use', 'IM 13. Afdeling L5', 'EX 01. Export plan to FSP'.Timestamp, 'EX xx. Export plan to FSP', '└EX 01a. Export plan to FSP - BAK', '└EX 01b. Export plan to FSP - % Personeelkosten', 'SEC 02. COEA/Kosten Access', 'MA 05. Mapping Afdeling directeuren (Delete After Action)'","'LO 01. Load SIP'.AN Afdeling, 'LO 06. Subafdeling'.AN Parent on code, 'LO 06. Subafdeling'.AN Parent on name, 'LO 06. Subafdeling'.AN Parent final, 'LO 06. Subafdeling'.Select Parent, 'LO 07. Kostenplaats'.AN Afdeling from code, 'LO 07. Kostenplaats'.AN Afdeling from name, 'LO 07. Kostenplaats'.Overwrite Afdeling, 'LO 07. Kostenplaats'.FInal Afdeling, 'LO 07. Kostenplaats'.Parent of Subafdeling, 'LO 08. Import SIP Euro'.AN Afdeling, 'DA 01 NEW. Load Plan from SIP'.Afdeling, '└ IP 10b. Verdeling naar grootboekrekening - Import'.Afdeling, '└ IP 10c. Selecteer seizoenspatroon'.Afdeling, 'IP 11. IC & Leenmonteurs input'.'Tegenpartij -> Afdeling L5', 'IP 13. UMDT op Activiteiten'.'Afdeling L5', 'IP 17. UMDT op Kostenplaats'.Afdeling, 'IP 19. UMDT op L3++ Thema''s'.'L5 Afdeling', 'IP 20. UMDT Thema''s op Kostenplaats'.Afdeling, 'IP 25.  IC allocation naar kostenplaats'.'Afdeling L5', 'IP 38. Loonkosten prestatiesoort'.Afdeling, 'CA 18. Invoer seizoenspatroon IC'.'Tegenpartij -> Afdeling L5', 'CA 18. Invoer seizoenspatroon IC'.Versturende Partij, 'RP 14. UMDT - Kostenplaats'.Afdeling, 'FI 01. Filter no dimensions'.Afdeling, '└ FI 07i. User Filters - COEA-KP-ACC'.Afdeling, 'IM 99. Lookup lists'.Netverder, 'IM 04. Entiteit'.BAK Afdeling, 'IM 05b. Afdeling - Do not use'.Item, 'IM 05c. Subafdeling'.Parent, 'IM 06b. SS Budget MJP Kostenplaats'.'Afdeling L5', 'IM 13. Afdeling L5'.ITEM, 'IM 14. Risico''s  & Kansen'.Parent item, 'IM 20. COEA-KP-ACC'.Afdeling, 'IM 34. SIP Activiteit L4'.Afdeling, 'IM 34. SIP Activiteit L4'.'Afdeling (Version)', 'IM 35. SIP Subactiviteit L5'.Afdeling, 'IM 36. SIP Subactiviteit L6'.Afdeling, 'IM 62 Kostenplaats'.Afdeling, 'IM 65. Activiteit L4+_Kostenplaats'.Afdeling, 'IM 71. Support List Dep'.Map to, 'MA 07. Kostenplaats L7 Aggregation mapping - Version based'.Parent, 'MA 10. Afdeling op Thema''s of Activiteiten'.Afdeling, 'MA 11. Afdeling op L3++'.Afdeling, 'MJP Kostenplaats L7'.'Afdeling L5'","'LO 06. Subafdeling'.AN Parent on code, 'LO 06. Subafdeling'.AN Parent on name, 'LO 07. Kostenplaats'.AN Afdeling from code, 'LO 07. Kostenplaats'.AN Afdeling from name, 'LO 08. Import SIP Euro'.AN Afdeling, 'LO 12. Loonkosten Prestatiesoorten'.AN Afdeling, 'IP 19. UMDT op L3++ Thema''s'.'L5 Afdeling', 'CA 16. Controle Dekking Uren'.Filter afdeling, 'CA 22. Berekening Doorbelastingen'.'Versturend - Allocatie', 'CA 22. Berekening Doorbelastingen'.Kosten, 'CA 22. Berekening Doorbelastingen'.Read Access?, 'CA 30a. DB/TS naar Afdeling'.Final, 'CA 47. Toeslag Inflation Staging'.Toeslag Inflatie, 'FI 10. Activiteit L4 + > Afdelingen'.Afdeling, '└ FI 07d. User Filters - Afdeling L5 SS'.Item, 'IM 05b. Afdeling - Do not use'.Item, 'IM 13. Afdeling L5'.ITEM, 'IM 13. Afdeling L5'.SS IC Item, 'IM 24. Dummy Afdelingen'.Afdeling, 'MA 10. Afdeling op Thema''s of Activiteiten'.Afdeling, 'MA 11. Afdeling op L3++'.Afdeling, 'EX xx. Export plan to FSP'.'Plan inclusief inflatie en groei (Ketens + Netverder)', '└EX 01a. Export plan to FSP - BAK'.Plan inclusief inflatie en groei",154,true
Subafdeling L6,,Afdeling L5,true,true,,false,"Parent code: Text, Parent name: Text",SS - Subafdeling L6 - OPS,false,,false,,,337,,"'CA 58. Uurtarief Subafdeling', '└ FI 07k User Filters - Subafdeling L6', 'IM 05c. Subafdeling', 'EX 07. Uurtarief export to Data Hub Subafdeling'","'LO 06. Subafdeling'.AN Subafdeling, 'LO 07. Kostenplaats'.AN Subafdeling from code, 'LO 07. Kostenplaats'.AN Subafdeling from concat name, 'LO 07. Kostenplaats'.Overwrite Subafdeling, 'LO 07. Kostenplaats'.Final Subafdeling, 'LO 07. Kostenplaats'.Parent of Kostenplaats, 'LO 12. Loonkosten Prestatiesoorten'.AN Subafdeling, 'LO 12. Loonkosten Prestatiesoorten'.Handmatig Subafdeling, 'LO 12. Loonkosten Prestatiesoorten'.Final Subafdeling, 'IP 17. UMDT op Kostenplaats'.Subafdeling, 'IP 20. UMDT Thema''s op Kostenplaats'.Subafdeling, 'IP 38. Loonkosten prestatiesoort'.Subafdeling, 'FI 07. User filters - General'.'Subafdeling (OPS)', 'FI 07. User filters - General'.Subafdeling, 'IM 05c. Subafdeling'.Item, 'IM 06b. SS Budget MJP Kostenplaats'.'Subafdeling L6', 'IM 62 Kostenplaats'.Subafdeling","'LO 06. Subafdeling'.AN Subafdeling, 'LO 07. Kostenplaats'.AN Subafdeling from code, 'LO 07. Kostenplaats'.AN Subafdeling from concat name, 'LO 12. Loonkosten Prestatiesoorten'.AN Subafdeling, 'IM 05c. Subafdeling'.Item, 'IM 05c. Subafdeling'.Code",144,false
MJP Kostenplaats L7,,Subafdeling L6,true,true,,false,"Afdeling L5, Display Name: Text","SS Kostenplaats L7 - Active, SS Kostenplaats L7 - Budget",true,Display Name,false,,,1325,,"'LO 10. Load Tarieven personeel', 'IP 10. Verdeling naar kostenplaatsen'.Berekend DUMMY, 'IP 10. Verdeling naar kostenplaatsen'.Totaal afdelingskosten, 'IP 10. Verdeling naar kostenplaatsen'.UMD Totaal, '└ IP 10b. Verdeling naar grootboekrekening - Import'.To be created KPI, '└ IP 10d. Calculatie seizoenspatronen'.Waarde in Kostenplaats, 'CA 11. Verdeling naar Grootboekrekening overzicht'.Filter Zero, '└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy'.Allocated Sum, '└ FI 07a. User Filters - MJP Drivers L6', '└ FI 07b. User Filters - MJP Drivers L6 & Time', 'IM 62 Kostenplaats', 'EX 03. Export plan to Powerapps formatie'","'LO 07. Kostenplaats'.AN Kostenplaats, 'DA 31. Historical data SAP BPC'.AN Kostenplaats, '└ IP 10c. Selecteer seizoenspatroon'.Kostenplaats, 'IP 47. Netverliezen Eigenschappen'.Kostenplaats, 'FI 07. User filters - General'.Kostenplaats, '└ FI 07i. User Filters - COEA-KP-ACC'.Kostenplaats, 'IM 20. COEA-KP-ACC'.MJP Activiteit, 'IM 20. COEA-KP-ACC'.AN MJP, 'IM 62 Kostenplaats'.ITEM, 'IM 65. Activiteit L4+_Kostenplaats'.Kostenplaats, 'MA 07. Kostenplaats L7 Aggregation mapping - Version based'.Item, 'MA 61. Kostenplaats L7 Aggregation mapping'.Item","'LO 07. Kostenplaats'.AN Kostenplaats, 'DA 31. Historical data SAP BPC'.AN Kostenplaats, '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +'.Allocation %, 'CA 30. DB/TS naar Kostenplaats'.Automatisch, 'CA 38. Toeslagen GBR'.'Receiving - Indirecte toeslag', 'CA 38. Toeslagen GBR'.'Receiving - Magazijntoeslag', 'CA 38. Toeslagen GBR'.Receiving OPS Support, 'IM 06b. SS Budget MJP Kostenplaats'.ITEM, 'IM 20. COEA-KP-ACC'.AN MJP, 'IM 62 Kostenplaats'.ITEM, 'MA 07. Kostenplaats L7 Aggregation mapping - Version based'.Item, 'MA 61. Kostenplaats L7 Aggregation mapping'.Item",1872,true
Dummy Afdelingen,Totaal,,false,true,,false,,"SS IC Afdelingen - Leenmonteurs, SS IC Afdelingen - Selectie",false,,false,,,35,,"'└ RP 18a. Powerpoint KPI''s Waarde', '└ RP 18b. Powerpoint KPI''s Master Data', 'RP 19. Risico & Kansen', '└ FI 07w. User Filters - Dummy Afdelingen', 'IM 24. Dummy Afdelingen', 'SEC 04. IC Afdelingen Access'","'LO 09. Load SPIN KPI Data'.AN Dummy Afdeling, 'LO 09. Load SPIN KPI Data'.'AN Organisatie -> Afdeling', 'DA 12. Load Waardes from SPIN'.'AN: Afdeling', 'IP 11. IC & Leenmonteurs input'.'Afdeling L5 -> Tegenpartij', 'IP 21. Input KPI''s - MJP'.Afdeling, '└ IP 21a. Input KPI''s - Months'.Afdeling, 'IP 22. Create KPI_Afdeling'.Afdeling, 'IP 22. Create KPI_Afdeling'.'Afdeling blank', 'CA 18. Invoer seizoenspatroon IC'.Tegenpartij, 'CA 18. Invoer seizoenspatroon IC'.'Afdeling L5 -> Tegenpartij', 'RP 18. KPI Waarde over years'.Afdeling, 'FI 07. User filters - General'.Afdelingen, '└ FI 07e. User Filters - KPI'.Afdeling, '└ FI 07w. User Filters - Dummy Afdelingen'.AN Afdeling, 'IM 05b. Afdeling - Do not use'.Dummy Afdeling SS Budget, 'IM 05b. Afdeling - Do not use'.Dummy Afdeling, 'IM 13. Afdeling L5'.Dummy Afdeling, 'IM 18. KPI Informatie'.Afdeling, 'IM 24. Dummy Afdelingen'.ITEM, 'IM 42. SPIN KPI''s'.Hoofdafdeling, 'IM 43. KPI_Afdeling'.Afdeling, 'MA 01. SPIN -  Organisatie -> Afdeling L5'.Afdeling, 'MA 01. SPIN -  Organisatie -> Afdeling L5'.New Afdeling Mapping, 'MA 01. SPIN -  Organisatie -> Afdeling L5'.Afdeling Final","'LO 09. Load SPIN KPI Data'.AN Dummy Afdeling, '└ RP 18a. Powerpoint KPI''s Waarde'.Afdeling?, '└ RP 18b. Powerpoint KPI''s Master Data'.Afdeling?, '└ FI 07e. User Filters - KPI'.Filter Afdeling, '└ FI 07w. User Filters - Dummy Afdelingen'.AN Afdeling, 'IM 05b. Afdeling - Do not use'.Dummy Afdeling SS Budget, 'IM 05b. Afdeling - Do not use'.Dummy Afdeling, 'IM 13. Afdeling L5'.Dummy Afdeling, 'IM 24. Dummy Afdelingen'.ITEM, 'MA 01. SPIN -  Organisatie -> Afdeling L5'.Afdeling",35,false
Business Controllers,,,false,false,,false,,,false,,false,,,33,,,"'IP 22. Create KPI_Afdeling'.'Business Controller 1', 'IP 22. Create KPI_Afdeling'.'Business Controller 2 (Optioneel)', 'IM 43. KPI_Afdeling'.'Business Controller 1', 'IM 43. KPI_Afdeling'.'Business Controller 2'",,34,false
▶️ 𝗦𝗜𝗣 𝗛𝗜𝗘𝗥𝗔𝗥𝗖𝗛𝗬◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
SIP Werkstroom L1,Totaal Tafel/Thema,,false,true,,false,,,false,,false,,,6,,'LO 04. Load Tafel/Thema SIP'.Flag Werkstroom?,"'LO 04. Load Tafel/Thema SIP'.AN Werkstroom, 'LO 11 SIP Thema''s L3++'.AN Werkstroom, 'IM 39. Thema L3'.'Werkstroom L1'","'LO 04. Load Tafel/Thema SIP'.AN Werkstroom, 'LO 11 SIP Thema''s L3++'.AN Werkstroom, 'CA 34. MJP naar thema''s'.'Allocatie Jaar 1', 'CA 34. MJP naar thema''s'.Allocatie vanuit SIP, 'CA 34. MJP naar thema''s'.'MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig'.Allocatie vanuit SIP",7,false
SIP Tafel L2,,SIP Werkstroom L1,false,true,,false,,,false,,false,,,18,,"'LO 04. Load Tafel/Thema SIP'.Flag Tafel?, '└  FI 07l. User Filters - Tafel L2', 'IM 38. Tafel L2'","'LO 04. Load Tafel/Thema SIP'.AN Tafel, 'LO 11 SIP Thema''s L3++'.AN Tafel, 'FI 07. User filters - General'.Tafel, 'IM 27. Thema L3 Verrijking'.Parent, 'IM 34. SIP Activiteit L4'.'Parent (Tafel)', 'IM 35. SIP Subactiviteit L5'.'Parent (Tafel)', 'IM 36. SIP Subactiviteit L6'.'Parent (Tafel)', 'IM 37. SIP Activiteit L4 +'.Tafel, 'IM 38. Tafel L2'.ITEM, 'IM 39. Thema L3'.'Tafel L2', 'IM 41. Thema L3 ++'.'AN Tafel L2'","'LO 04. Load Tafel/Thema SIP'.AN Tafel, 'LO 11 SIP Thema''s L3++'.AN Tafel, 'IM 38. Tafel L2'.ITEM",13,false
SIP Thema L3,,SIP Tafel L2,false,true,,false,PAM Product: Product,,false,,false,,,117,Each department chooses to plan on Thema L3++ or SIP Activity L4+,"'LO 03. Load SPP Thema''s - FTE''s', 'LO 04. Load Tafel/Thema SIP'.Flag Thema?, 'LO 13. Load SIP E/G split', 'LO 02. Load SIP Plan - SIP Planvarianten', 'DA 02 NEW. Load FTEs from SPP', 'DA 01. Total Plan SIP', '└ DA 28b. Meerjarenplan Euros SIP Thema selectie', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+'.'Valid Combinations L3', 'CA 23. Berekend UMDT op L3++ Thema''s'.Thema Filter, 'CA 34. MJP naar thema''s', 'CA 34. MJP naar thema''s - Meerjarig', '└CA 34a MJP thema''s voor RP 10 11 12', 'CA 35. Monthly allocation thema L3 (aggregated)', '└CA 35g. Monthly allocation on thema L3', 'CA 62. MJP naar thema''s Opex/Capex', 'RP 13. UMDT - Afdeling', 'RP 15. UMDT - Afdeling E/G Regio OPEX', 'RP 14. UMDT - Kostenplaats', 'FI 14. Thema L3 filter Calculations', '└  FI 07t. User Filters - Thema', '└ FI 07ac. User Filters - Suppress Zeroes RP14', '└ FI 07ad. User Filters - Suppress Zeroes RP13', '└ FI 07aj. User Filters - Suppress Zeroes RP15', 'IM 39. Thema L3', 'MA 02. Mapping Thema verrijking -> SIP', 'MA 10. Afdeling op Thema''s of Activiteiten', '└EX 01d. Export Tafel/Thema to FSP'","'LO 04. Load Tafel/Thema SIP'.AN Thema, 'LO 11 SIP Thema''s L3++'.AN Thema, 'IP 27 Sip Thema L3++'.'Selectie Thema L3', 'CA 21. Berekend UMDT op Activiteit'.'Thema L3', 'FI 07. User filters - General'.Thema, 'IM 34. SIP Activiteit L4'.'Parent (Thema)', 'IM 35. SIP Subactiviteit L5'.'Parent (Thema)', 'IM 36. SIP Subactiviteit L6'.'Parent (Thema)', 'IM 37. SIP Activiteit L4 +'.Thema, 'IM 39. Thema L3'.Item, 'IM 40 Thema L3+'.'Thema L3', 'IM 41. Thema L3 ++'.'AN Thema L3', 'MA 11. Afdeling op L3++'.'Sip Thema L3', 'MA 12.  Afdeling op L4+'.'Sip Thema L3'","'LO 04. Load Tafel/Thema SIP'.AN Thema, 'LO 11 SIP Thema''s L3++'.AN Thema, 'IM 39. Thema L3'.Item",102,true
SIP Thema L3+,,SIP Thema L3,false,true,,false,"Display Name: Text, End user created?: Boolean",,false,,false,,,243,All departments: product,'IM 40 Thema L3+',"'LO 11 SIP Thema''s L3++'.AN Hoofdproduct, 'IP 27 Sip Thema L3++'.'Selectie Thema L3+', 'IP 27 Sip Thema L3++'.'AN Thema L3+', 'IM 40 Thema L3+'.Item, 'IM 41. Thema L3 ++'.'AN Thema L3+', 'IM 41. Thema L3 ++'.Parent Extern Thema","'LO 11 SIP Thema''s L3++'.AN Hoofdproduct, 'IP 27 Sip Thema L3++'.'AN Thema L3+', 'IM 40 Thema L3+'.Item",127,false
SIP Thema L3++,,SIP Thema L3+,false,true,,false,"Display Name: Text, Extern?: Boolean, End user created?: Boolean, Consument?: Boolean",,false,,false,,,479,"Consument: plans on sub-product (++), product (+) or thema (L3)","'DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie', 'IP 19. UMDT op L3++ Thema''s', 'IP 20. UMDT Thema''s op Kostenplaats', 'IP 30. Seizoenspatroon Thema L3++', 'IP 40. Input Thema L3++ split', 'CA 23. Berekend UMDT op L3++ Thema''s', '└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', '└ CA 23c. UMDT + Inflatie (L3+)', '└CA 35d. Monthly allocation Thema L3++', '└CA 35e. Monthly allocation Thema L3++ to UMDT', '└CA 35f. Monthly allocation Thema L3++ to UMDT  to KP', 'CA 42. Materiaal Staging Thema L3++', 'CA 52. UMDT - Thema Regio EG', 'FI 18. Allocation Thema/Afdeling/COEA', '└  FI 07r. User Filters - Thema L3++ & Afdeling', '└  FI 07t. User Filters - Thema L3++', '└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA', '└ FI 07am. Suppress Zeroes CA 35e.', 'IM 41. Thema L3 ++', 'MA 11. Afdeling op L3++'","'LO 11 SIP Thema''s L3++'.AN Subproduct, 'IP 27 Sip Thema L3++'.'AN Thema L3++', 'FI 07. User filters - General'.'Thema L3++', 'IM 39. Thema L3'.'AN L3+', 'IM 41. Thema L3 ++'.'AN Thema L3++', 'IM 41. Thema L3 ++'.AN Extern Thema","'LO 11 SIP Thema''s L3++'.AN Subproduct, 'IP 27 Sip Thema L3++'.'AN Thema L3++', 'IM 39. Thema L3'.'AN L3+', 'IM 41. Thema L3 ++'.'AN Thema L3++', 'IM 41. Thema L3 ++'.AN Extern Thema, 'IM 41. Thema L3 ++'.Create Extern Thema?",239,false
SIP Thema L3 MJP verrijking,,SIP Tafel L2,false,true,,false,,,false,,false,,,122,,'IM 27. Thema L3 Verrijking','IM 27. Thema L3 Verrijking'.ITEM,'IM 27. Thema L3 Verrijking'.ITEM,105,false
SIP Activiteit L4,,SIP Thema L3,false,true,,false,"Display Name: Text, COEA, Anaplan Code 2026: Text",,true,Display Name,false,,,1731,,"'LO 04. Load Tafel/Thema SIP'.Flag Activiteit?, 'LO 08. Import SIP Euro', 'DA 01 NEW. Load Plan from SIP', 'IM 34. SIP Activiteit L4'","'LO 04. Load Tafel/Thema SIP'.AN Activiteit, 'LO 05. Load Subactiviteit L5 SIP'.AN Activiteit, 'IM 34. SIP Activiteit L4'.Item, 'IM 35. SIP Subactiviteit L5'.'Parent (Activiteit)', 'IM 36. SIP Subactiviteit L6'.'Parent (Activiteit L4)', 'IM 37. SIP Activiteit L4 +'.Parent","'LO 04. Load Tafel/Thema SIP'.AN Activiteit, 'LO 05. Load Subactiviteit L5 SIP'.AN Activiteit, 'IM 34. SIP Activiteit L4'.Item, 'IM 34. SIP Activiteit L4'.'FO SIP Activiteit L4 +'",18017,false
SIP Activiteit L4 +,,SIP Activiteit L4,false,true,,false,"Display Name: Text, Afdeling MJP: SS Afdeling L5 - Budget Afdelingen",SS-Activiteit L4+ COEA Filter,true,Display Name,false,,,3348,Subactivities,"'DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie', 'IP 13. UMDT op Activiteiten', 'IP 17. UMDT op Kostenplaats', 'IP 29. Seizoenspatroon Activity L4+', 'IP 41. Input Activiteit L4+ split', 'CA 21. Berekend UMDT op Activiteit', '└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└ CA 21a NEW. Allocatie naar CC Activiteit L4+ - Copy', '└ CA 21c. UMDT + Inflatie (L4+)', '└  CA 21d. Activiteit_kostenplaats combinatie', '└CA 35a. Monthly allocation Activity L4+', '└CA 35b. Monthly allocation Activity L4+ to UMDT', '└CA 35c. Monthly allocation Activity L4+ to UMDT - Copy'.Allocation key, 'CA 43. Materiaal Staging Activiteit L4+', 'CA 53. UMDT - Activiteit Regio EG', 'FI 10. Activiteit L4 + > Afdelingen', '└  FI 07m. User Filters - Activiteit L4 + (UMD)', '└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA', 'FI 11. Activiteit L4 +', 'IM 37. SIP Activiteit L4 +', 'MA 12.  Afdeling op L4+'","'FI 07. User filters - General'.'Activiteit L4 +', 'IM 34. SIP Activiteit L4'.'AN SIP Activiteit L4 +', 'IM 37. SIP Activiteit L4 +'.Item, 'IM 65. Activiteit L4+_Kostenplaats'.'Activiteit L4+'","'└  CA 21d. Activiteit_kostenplaats combinatie'.FO, 'IM 34. SIP Activiteit L4'.'AN SIP Activiteit L4 +', 'IM 37. SIP Activiteit L4 +'.Item",16967,false
SIP Subactiviteit L5,,SIP Activiteit L4,false,true,,false,"Display Name: Text, Eenheid: Text",,true,Display Name,false,,,2918,,'IM 35. SIP Subactiviteit L5',"'LO 05. Load Subactiviteit L5 SIP'.'AN Subactiviteit L5', 'IM 35. SIP Subactiviteit L5'.Item, 'IM 36. SIP Subactiviteit L6'.'Parent (Activiteit L5)'","'LO 05. Load Subactiviteit L5 SIP'.'AN Subactiviteit L5', 'IM 35. SIP Subactiviteit L5'.Item",5146,false
SIP Subactiviteit L6,,SIP Subactiviteit L5,false,true,,false,Display name: Text,,true,Display name,false,,,4103,,'IM 36. SIP Subactiviteit L6',"'LO 05. Load Subactiviteit L5 SIP'.'AN Subactiviteit L6', 'IM 36. SIP Subactiviteit L6'.Item","'LO 05. Load Subactiviteit L5 SIP'.'AN Subactiviteit L6', 'IM 36. SIP Subactiviteit L6'.Item",3560,false
▶️ 𝗟𝗢𝗔𝗗 𝗟𝗜𝗦𝗧𝗦 ◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
#Load SPIN Waardes,Total,,false,true,,false,"KPI_Name: Text, KPI ID: Number, Afdeling: Text, Periode: Text, Actual: Number, Actual YTD: Number, Budget: Number, Budget YTD: Number, Budget FY: Number, LE: Number",,true,,false,,,32424,,'DA 12. Load Waardes from SPIN',,,47582,false
#Load SAP BPC,Total SAP BPC,,false,false,,false,,,false,,false,,,157245,HV: DELETE,'DA 31. Historical data SAP BPC',,"'DA 31. Historical data SAP BPC'.'Account L12 to be created?', 'DA 31. Historical data SAP BPC'.FO Soort, 'DA 31. Historical data SAP BPC'.FO Period",157245,false
#LOAD SIP,Totaal SIP,,false,true,,false,"Jaar: Text, OpEx/CaPex: Text, Afdeling: Text, Bedrag: Number, FTE: Number",,true,,false,,,243,,'LO 01. Load SIP',,,1283,false
#Load Tafel/Thema SIP,Total,,false,true,,false,"Werkstroom: Text, Werkstroom Code: Text, Tafel: Text, Tafel Code: Text, Thema: Text, Thema Code: Text, Thema PAM Product: Text, Thema PAM Product code: Text, Activiteit: Text, Activiteit Code: Text, Activiteit - Anaplan Code 2026: Text, Activiteit Afdeling: Text, CAPEX/OPEX: Text, In laatste load?: Boolean, In scope SIP?: Boolean",,true,,false,,,1615,,'LO 04. Load Tafel/Thema SIP',,"'LO 04. Load Tafel/Thema SIP'.FO Werkstroom, 'LO 04. Load Tafel/Thema SIP'.FO Tafel, 'LO 04. Load Tafel/Thema SIP'.FO Thema, 'LO 04. Load Tafel/Thema SIP'.FO Activiteit, 'LO 04. Load Tafel/Thema SIP'.FO Product",17305,false
#Load Subactiviteit SIP,,,false,true,,false,"Subactiviteit: Text, Activiteit: Text, Activiteit Code: Text, Eenheid: Text, In laatste load?: Boolean",,true,,false,,,1193,,'LO 05. Load Subactiviteit L5 SIP',,"'LO 05. Load Subactiviteit L5 SIP'.'FO Subactiviteit L5', 'LO 05. Load Subactiviteit L5 SIP'.FO Activiteit, 'LO 05. Load Subactiviteit L5 SIP'.FO Eenheid",1194,false
#Load Grouping L12 accounts,Total,,false,false,,false,,,true,,false,,,233,HV: DELETE,'LO 05. Grouping L12 accounts',,,233,false
#Load L6 Subafdeling,Total,,false,false,,false,"Parent code: Text, Parent name: Text",,true,,false,,,148,HV: DELETE,'LO 06. Subafdeling','LO 06. Subafdeling'.Item,'LO 06. Subafdeling'.Item,454,false
#Load L7 Kostenplaats,Total,,false,true,,false,"Display Name: Text, Parent Code: Text",,false,,false,,,952,HV: DELETE,'LO 07. Kostenplaats',,"'LO 07. Kostenplaats'.List code, 'LO 07. Kostenplaats'.Create Afdeling, 'LO 07. Kostenplaats'.Update afdeling, 'LO 07. Kostenplaats'.Create Subafdeling, 'LO 07. Kostenplaats'.Update subafdeling, 'LO 07. Kostenplaats'.Create MJP Kostenplaats, 'LO 07. Kostenplaats'.Update MJP Kostenplaats",9682,false
#Load SPIN KPIs,Total,,false,true,,false,"Display Name: Text, KPI ID: Text, KPI Name: Text, Afdeling: Text, Eenheid: Text, YTD berekening: Text, Groepering 1: Text, Categorie: Text, BU FY Waarde: Number, LE Waarde: Number, Content Leverancier: Text, Data Leverancier: Text, Business Controller: Text, TYPE Code: Text, Type Typaam: Text, Frequentie: Text",,true,,false,,,1579,,'LO 09. Load SPIN KPI Data','IM 42. SPIN KPI''s'.Hoofd KPI in SPIN?,"'LO 09. Load SPIN KPI Data'.FO KPI, 'LO 09. Load SPIN KPI Data'.FO YTD Berekening, 'LO 09. Load SPIN KPI Data'.'FO Groepering L1', 'LO 09. Load SPIN KPI Data'.'FO Categorie L2', 'LO 09. Load SPIN KPI Data'.FO Organisatie, 'LO 09. Load SPIN KPI Data'.FO KPI_Afdeling, 'IM 42. SPIN KPI''s'.Hoofd KPI in SPIN?",2716,false
#LOAD SIP Thema's L3++,Total,,false,false,,false,,,true,,false,,,57,,'LO 11 SIP Thema''s L3++',,,57,false
#Load loonkosten,,,false,false,,false,,,false,,false,,,111,,'LO 12. Loonkosten Prestatiesoorten',,,112,false
▶️ 𝗖𝗢𝗡𝗖𝗔𝗧𝗘𝗡𝗔𝗧𝗜𝗢𝗡◀️,,,false,false,,false,,,false,,false,,,0,,,,,1,false
