,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
└ DA 28a. Meerjarenplan Euros Driver Selectie,INPUT,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, SS Rekeningcategorie - MJP, LIS (IP 10) MJP",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5723,HV: Not needed. TBD,,,,,,,"Budget Jaar Euros, Driver, CF Driver"
└ DA 28a NEW. Meerjarenplan Euros Driver Selectie,INPUT,"MJP Versions L2, COEA, SS Afdeling L5 - Budget Afdelingen, SS Rekeningcategorie - MJP",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,5723,,,,,,'DA 28. Meerjarenplan Euros per jaar',,"Budget Jaar Euros, Driver, CF Driver"
└ DA 28b. Meerjarenplan Euros SIP Thema selectie,DATA,"MJP Versions L2, SIP Thema L3, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,1083537,,,,,,"'DA 28. Meerjarenplan Euros per jaar', 'DA 29. Meerjarenplan FTEs per jaar', '└ RP 06c.TOTEX Analyse', '└ RP 08a. Variantie Analyse'",,"TOTEX SIP Euro's, OPEX SIP Euro's, CAPEX SIP Euro's"
DA 29. Meerjarenplan FTEs per jaar,INPUT,"MJP Versions L2, SS - FTE Type FSP, SS Afdeling L5 - Budget Afdelingen",Year,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,81648,,,,,,"'CA 06. FTE kosten MJP', 'RP 06. samenvatting MJP', 'RP 07. formatie ontwikkeling', 'RP 08. Formatie MJP'",,"Eindstand FTE LY, Groei% Driver, Overwrite Groei%, Final Groeipercentage, FTE, Overwrite FTE, Dec Eindstand FTE, Gemiddelde FTE, Drivers, Drivers SIP TOTEX, Driver SPP Totaal, Driver SPP OPEX, Driver SPP CAPEX, Technical, CF Lege driver, CF Vrije Invoer, Vrije Invoer, Format input"
└ DA 29a. Meerjarenplan FTEs Driver Selectie,INPUT,"MJP Versions L2, SS - FTE Type FSP, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13320,,,,,,'DA 29. Meerjarenplan FTEs per jaar',,"FTE per DEC, Budget Jaar FTE, Driver, CF Driver, Format input"
└ DA 31a. Historical Data Grootbookrekening,DATA,"COEA, SS - Account L12 - Active, SS Kostenplaats L7 - Active",Year,TR BPC Actuals,Not Applicable,New Line Items: Off,Show All Users: On,53243244,HV: Not needed RM: Still used,,,,,'└ DA 31b.  Historical Data Aggregated',,"Waarde, Waarde version based, Waarde version based per maand"
└ DA 31b.  Historical Data Aggregated,DATA,"MJP Versions L2, COEA, SS - Account L12 - Budget, SS Kostenplaats L7 - Budget",Year,TR BPC Actuals,Not Applicable,New Line Items: Off,Show All Users: On,87744510,HV: To ref DA 31 directly,,,,,"'IP 05. Seizoenspatronen', '└ IP 10a NEW. Verdeling naar grootboekrekening'",,"Waarde, Waarde per maand, Waarde per Rekeningcategorie, Waarde - OLD"
DA 32. UMDT op Afdeling (L4+) -> Rekeningcategorie,DATA,"MJP Versions L2, SIP Activiteit L4 +, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, LIS (CA 21) UMD - Activiteit L4+",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3725568,,,,,,"'└ CA 21a. Allocatie naar Kostenplaats Activiteit L4+', '└CA 35b. Monthly allocation Activity L4+ to UMDT'",,Data
DA 33 UMDT (L3+ ) op Kostenplaats -> Rekeningcategorie,DATA,"MJP Versions L2, SIP Thema L3++, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen, LIS (CA 23) UMD - Thema's L3 +",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3661476,,,,,,"'└  CA 23a. Allocatie naar Kostenplaats Thema L3 +', '└CA 35e. Monthly allocation Thema L3++ to UMDT'",,Data
DA 35. SPIN KPI Waardes,DATA,KPI_Afdeling,Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,354240,RM - Needs to be deleted and calculated in RP 17/ RP 18 directly,,,,,"'RP 17. KPI Waarde report creation', 'RP 18. KPI Waarde over years'",,"Actual, Actual YTD, Budget, Budget YTD, Budget FY, LE"
⠀⠀⠀       ◼️ INPUT MODULES,,,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,0,,,,,,,,
IP 02. IAS16 kosten (cumulatief),INPUT,"MJP Versions L2, Afdeling L5, IAS16 kosten, SS Rekeningcategorie - IAS 16",Year,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,485244,,'FI 04. Read-Only'.Lock yearly input,'FI 04. Read-Only'.Open yearly input,,,"'└IP 02a. IAS16 naar maanden', 'CA 19. Rekeningcategorie Allocatie', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 29. MJP naar Afdelingen', 'CA 44. Inflatie Staging'",,"IAS 16 kosten, YOY, Inflatie % YOY, Cumulatief, Inflatie %, IAS 16 Kosten Inclusief Inflatie, Inflatie Calculatie, Format input"
└IP 02a. IAS16 naar maanden,INPUT,"MJP Versions L2, IAS16 kosten, Dummy Maand, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,44511,,,,,,'CA 54. Bezettingsresultaat en dekkingsgraad',,"FY Waarde (Budget), Input maandverdeling, Nog te verdelen, Verdeeld inclusief inflatie, CF nog te verdelen, CF INput"
IP 03. Risico & Kansen,INPUT,"MJP Versions L2, Risico & Kansen items, Risico & Kansen soort",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,13797,,,,,,"'└IP 03a. Naar jaren', 'RP 19. Risico & Kansen'",,"R&K Soort, € / FTE, Omschrijving, Kostensoort, Jaar, Kans berekening ?, Kans, Invoer, Totaal minder, Totaal meer, Toelichting, Check op minder < 0, Check op meer > 0, CF Kans, Format input"
└IP 03a. Naar jaren,INPUT,"MJP Versions L2, Risico & Kansen soort, SS Afdeling L5 - Budget Afdelingen, SS Tijd Dummy - Budget jaren",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,6174,,,,,,'CA 05. Risico & Kansen',,"Totaal meer, Totaal minder"
IP 05. Seizoenspatronen,INPUT,"MJP Versions L2, COEA, SS Kostenplaats L7 - Budget",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,493719984,,,,,,"'└ IP 05a. Seizoenspatronen - Collect', '└ IP 10d. Calculatie seizoenspatronen', 'CA 48. Personeelskosten naar maand'",,"Verdeling 1 | Evenredig verdeeld (1/12), Verdeling 2 | Op basis van FTE, Verdeling 3 | Handmatig, Verdeling 4 | Handmatig, Verdeling 5 | Handmatig, Verdeling 6 | Previous MJP, Verdeling 7 | Actuals LY, Verdeling 8 | Automatische Allocatie, Check 1, Check 2, Check 3, Check 4, Check 5, ---Technical---, Previous Actuals, Previous MJP Version Load, Final Waarde Dimensioned, Previous MJP Version, Previous MJP Version Anaplan, CF"
IP 05. Seizoenspatronen - Copy,INPUT,"MJP Versions L2, COEA, SS Kostenplaats L7 - Budget",Month,MJP BU TR,Not Applicable,New Line Items: Off,Show All Users: On,158976,,,,,,,,Input naam
└ IP 05a. Seizoenspatronen - Collect,INPUT,"MJP Versions L2, COEA, SS Kostenplaats L7 - Active, LIS (IP 05) Verdelingssleutels",Month,TR MJP,Not Applicable,New Line Items: Off,Show All Users: On,4410432,,,,,,'└ IP 10d. Calculatie seizoenspatronen',,Kostenverdeling
└ IP 05b. Seizoenspatronen - Beschrijving Verdeling,INPUT,"COEA, SS Kostenplaats L7 - Budget, LIS (IP 05) Verdelingssleutels",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,48616,,,,,,,,"Beschrijving, --- Technical ---, Verdeling 1 of 2?, CF"
└ IP 05c. Seizoenspatronen - IC,INPUT,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2,Used by LIS (which is used in IP 11). LIS needs to be replaced with a normal list. After that this module can be deleted.,,,,,,,"Evenredig 1/12, Handmatig"
└ IP 05d. Seizoenspatronen Thema,INPUT,"MJP Versions L2, Dummy Maand, SS - COEA - zonder AFD, SS Afdeling L5 - Budget Afdelingen",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,40524,,,,,,"'└CA 35a. Monthly allocation Activity L4+', '└CA 35d. Monthly allocation Thema L3++'",,"Evenredig 1/12?, Handmatig #1, Handmatig #2, Handmatig driver #1, Handmatig driver #2, Format input"
IP 10. Verdeling naar kostenplaatsen,INPUT,"MJP Versions L2, COEA, Rekeningcategorie, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1211798,HV: Check IP 10xa and 10x2 and remove this one,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'└ DA 28a. Meerjarenplan Euros Driver Selectie', 'CA 04. FTE naar COEA', 'CA 11. Verdeling naar Grootboekrekening overzicht', 'IM 62 Kostenplaats'",,"Handmatig, Berekend, Totaal, ---TECHNICAL---, Totaal excl. IAS 16, Berekend DUMMY, Totaal afdelingskosten, Totaal Subload, UMD Totaal, Uren Totaal COE, Uren Verhouding (COE), Format input, Update cijfers?"
IP 10x1. NEW Afdelingkosten naar KP,INPUT,"MJP Versions L2, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,9120,HV: Migrate CA 20 here?,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'IP 10x2. NEW Handmatig Verdeling naar KP', '└ IP 10f. NEW - Jaar FTE tarief/uren per KP', 'IP 35. Personeelskosten handmatig naar grootboekrekening'",,"Personeelkosten, FTE gebonden kosten, Inleenkosten, Niet FTE gebonden kosten, Total Personeel kosten, Overige  kosten, IAS 16, Niet personeel kosten, ---TECHNICAL---, Format input"
IP 10x2. NEW Handmatig Verdeling naar KP,INPUT,"MJP Versions L2, COEA, Rekeningcategorie, SS Kostenplaats L7 - Budget",Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1044450,HV: To split this module between afdelingskosten and the rest,'FI 04. Read-Only'.Lock all input,'FI 04. Read-Only'.Unlock all input,,,"'└ DA 28a NEW. Meerjarenplan Euros Driver Selectie', 'CA 11 NEW. Verdeling naar Grootboekrekening', 'CA 20. Toeslag Direct', 'CA 24. Budget Kosten uren uitvoeringskosten-TBD', 'CA 24. MJP Kosten uren uitvoeringskosten', 'CA 26. Calculatie Toeslag Indirect', 'CA 31. Toeslag Direct MJP', 'DC 00. Data Checks'",,"Handmatig, Berekend, Totaal, ---TECHNICAL---, Personeelkosten, IC, Other, TD, TS, DB, Afdelingkosten, UMDT by Thema [CIRC ERROR], UMDT by Activity, BAK, Subsidies, Omzet, Non-afdeling kosten, Import Totaal (Subload), CF Input"
