,Format,Formula,Summary,Applies To,Time Scale,Time Range,Versions,Style,Cell Count,Populated Cell Count,Memory Used,Calculation Complexity,Calculation Effort,Notes,Read Access Driver,Write Access Driver,Users List,Parent,Is Summary,Formula Scope,Code,Use Switchover,Breakback,Start of Section,Data Tags,Referenced By,Module Name
Uitvoerend Personeel,NUMBER,,Sum,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR MJP,Not Applicable,Normal,227448,,,,,,,,,,false,All Versions,,true,false,false,,,LO 03. Load SPP Thema's - FTE's
Totaal Personeel,NUMBER,,Sum,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR MJP,Not Applicable,Normal,227448,,,,,,,,,,false,All Versions,,true,false,false,,"'DA 29. Meerjarenplan FTEs per jaar'.Driver SPP Totaal, 'DA 29. Meerjarenplan FTEs per jaar'.Driver SPP OPEX, 'DA 29. Meerjarenplan FTEs per jaar'.Driver SPP CAPEX",LO 03. Load SPP Thema's - FTE's
Verdeling resterend FTE budget,NUMBER,,Sum,"MJP Versions L2, SIP Thema L3, SS OPEX-CAPEX (only OP/CA), SS Afdeling L5 - OPS (SIP)",Year,TR MJP,Not Applicable,Normal,227448,,,,,,,,,,false,All Versions,,true,false,false,,,LO 03. Load SPP Thema's - FTE's
Werkstroom,TEXT,'#Load Tafel/Thema SIP'.Werkstroom,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Werkstroom Code,TEXT,'#Load Tafel/Thema SIP'.Werkstroom Code,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Werkstroom, FO Werkstroom",LO 04. Load Tafel/Thema SIP
Tafel,TEXT,'#Load Tafel/Thema SIP'.Tafel,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Tafel Code,TEXT,'#Load Tafel/Thema SIP'.Tafel Code,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Tafel, FO Tafel",LO 04. Load Tafel/Thema SIP
Thema,TEXT,'#Load Tafel/Thema SIP'.Thema,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Thema Code,TEXT,'#Load Tafel/Thema SIP'.Thema Code,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Thema, FO Thema",LO 04. Load Tafel/Thema SIP
Thema PAM Product,TEXT,'#Load Tafel/Thema SIP'.Thema PAM Product,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Thema PAM Product code,TEXT,'#Load Tafel/Thema SIP'.Thema PAM Product code,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Product, FO Product",LO 04. Load Tafel/Thema SIP
Activiteit,TEXT,'#Load Tafel/Thema SIP'.Activiteit,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,'IM 34. SIP Activiteit L4'.'SIP Activiteit L4 +',LO 04. Load Tafel/Thema SIP
Activiteit Code,TEXT,'#Load Tafel/Thema SIP'.Activiteit Code,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,'Activiteit Code - #',LO 04. Load Tafel/Thema SIP
Activiteit Code - #,TEXT,"SUBSTITUTE(Activiteit Code, ""#"", """")",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Activiteit, FO Activiteit",LO 04. Load Tafel/Thema SIP
Activiteit - Anaplan Code 2026,TEXT,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Activiteit Afdeling,TEXT,'#Load Tafel/Thema SIP'.Activiteit Afdeling,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
CAPEX/OPEX,TEXT,'#Load Tafel/Thema SIP'.'CAPEX/OPEX',None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,AN COEA,LO 04. Load Tafel/Thema SIP
In laatste load?,BOOLEAN,'#Load Tafel/Thema SIP'.In laatste load?,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"AN Werkstroom, AN Tafel, AN Thema, AN Activiteit, AN Product, AN COEA, Flag Werkstroom?, Flag Tafel?, Flag Thema?, Flag Activiteit?, 'Clear in laatste load 2'",LO 04. Load Tafel/Thema SIP
In scope?,BOOLEAN,'#Load Tafel/Thema SIP'.In scope SIP?,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,In scope? Value,LO 04. Load Tafel/Thema SIP
In scope? Value,NUMBER,IF In scope? THEN 1 ELSE 0,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,'IM 34. SIP Activiteit L4'.In scope SIP?,LO 04. Load Tafel/Thema SIP
-- Dimensies ---,NONE,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
AN Werkstroom,LIST,"IF In laatste load? THEN FINDITEM('SIP Werkstroom L1', Werkstroom Code) ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"Update Werkstroom?, Flag Werkstroom?",LO 04. Load Tafel/Thema SIP
AN Tafel,LIST,"IF In laatste load? THEN FINDITEM('SIP Tafel L2', Tafel Code) ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"Update Tafel?, Flag Tafel?",LO 04. Load Tafel/Thema SIP
AN Thema,LIST,"IF In laatste load? THEN FINDITEM('SIP Thema L3', Thema Code) ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"Update Thema?, Flag Thema?",LO 04. Load Tafel/Thema SIP
AN Activiteit,LIST,"IF In laatste load? THEN FINDITEM('SIP Activiteit L4', 'Activiteit Code - #') ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,"Update Activiteit?, Flag Activiteit?, 'IM 34. SIP Activiteit L4'.'OPEX/CAPEX', 'IM 34. SIP Activiteit L4'.In scope SIP?, 'IM 34. SIP Activiteit L4'.'SIP Activiteit L4 +'",LO 04. Load Tafel/Thema SIP
AN Product,LIST,"IF In laatste load? THEN FINDITEM(Product, Thema PAM Product code) ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Product?,LO 04. Load Tafel/Thema SIP
AN COEA,LIST,"IF In laatste load? THEN FINDITEM(COEA, 'CAPEX/OPEX') ELSE BLANK",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,'IM 34. SIP Activiteit L4'.'OPEX/CAPEX',LO 04. Load Tafel/Thema SIP
--- FO ---,NONE,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
FO Werkstroom,BOOLEAN,"ISFIRSTOCCURRENCE(Werkstroom Code, '#Load Tafel/Thema SIP')",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Werkstroom?,LO 04. Load Tafel/Thema SIP
FO Tafel,BOOLEAN,"ISFIRSTOCCURRENCE(Tafel Code, '#Load Tafel/Thema SIP')",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Tafel?,LO 04. Load Tafel/Thema SIP
FO Thema,BOOLEAN,"ISFIRSTOCCURRENCE(Thema Code, '#Load Tafel/Thema SIP')",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Thema?,LO 04. Load Tafel/Thema SIP
FO Activiteit,BOOLEAN,"ISFIRSTOCCURRENCE('Activiteit Code - #', '#Load Tafel/Thema SIP')",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Activiteit?,LO 04. Load Tafel/Thema SIP
FO Product,BOOLEAN,"ISFIRSTOCCURRENCE(Thema PAM Product code, '#Load Tafel/Thema SIP')",None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,Update Product?,LO 04. Load Tafel/Thema SIP
--- Update ---,NONE,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Update Werkstroom?,BOOLEAN,ISBLANK(AN Werkstroom) AND FO Werkstroom,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Update Tafel?,BOOLEAN,ISBLANK(AN Tafel) AND FO Tafel,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Update Thema?,BOOLEAN,ISBLANK(AN Thema) AND FO Thema,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Update Activiteit?,BOOLEAN,ISBLANK(AN Activiteit) AND FO Activiteit,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Update Product?,BOOLEAN,ISBLANK(AN Product) AND FO Product,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
--- Maintenance ---,NONE,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Flag Werkstroom?,BOOLEAN,NOT In laatste load?[ALL: AN Werkstroom],None,SIP Werkstroom L1,Not Applicable,Model Calendar,Not Applicable,Normal,5,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Flag Tafel?,BOOLEAN,NOT In laatste load?[ALL: AN Tafel],None,SIP Tafel L2,Not Applicable,Model Calendar,Not Applicable,Normal,12,,,,,,,,,,false,All Versions,,true,false,false,,'IM 38. Tafel L2'.Niet in SIP Hierarchy?,LO 04. Load Tafel/Thema SIP
Flag Thema?,BOOLEAN,NOT In laatste load?[ALL: AN Thema],None,SIP Thema L3,Not Applicable,Model Calendar,Not Applicable,Normal,99,,,,,,,,,,false,All Versions,,true,false,false,,'IM 39. Thema L3'.Niet in SIP Hierarchy?,LO 04. Load Tafel/Thema SIP
Flag Activiteit?,BOOLEAN,NOT In laatste load?[ALL: AN Activiteit],None,SIP Activiteit L4,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,'IM 34. SIP Activiteit L4'.Niet in SIP Hierarchy?,LO 04. Load Tafel/Thema SIP
--- Technical ---,NONE,,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Clear In Laatste Load,BOOLEAN,FALSE,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
Clear in laatste load 2,BOOLEAN,NOT In laatste load?,None,#Load Tafel/Thema SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1614,,,,,,,,,,false,All Versions,,true,false,false,,,LO 04. Load Tafel/Thema SIP
List account,TEXT,,None,#Load Grouping L12 accounts,Not Applicable,Model Calendar,Not Applicable,Normal,232,,,,,,,,,,false,All Versions,,true,false,false,,AN List account,LO 05. Grouping L12 accounts
Grouped account,TEXT,,None,#Load Grouping L12 accounts,Not Applicable,Model Calendar,Not Applicable,Normal,232,,,,,,,,,,false,All Versions,,true,false,false,,AN Grouped account,LO 05. Grouping L12 accounts
AN List account,LIST,"FINDITEM('Account L12', List account)",First non-blank,#Load Grouping L12 accounts,Not Applicable,Model Calendar,Not Applicable,Normal,233,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Grouping L12 accounts
AN Grouped account,LIST,"FINDITEM('Account L12', Grouped account)",First non-blank,#Load Grouping L12 accounts,Not Applicable,Model Calendar,Not Applicable,Normal,233,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Grouping L12 accounts
Subactiviteit,TEXT,#Load Subactiviteit SIP.Subactiviteit,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'Subactiviteit L5 Code', 'Subactiviteit L6 Code'",LO 05. Load Subactiviteit L5 SIP
Subactiviteit L5 Code,TEXT,"LEFT(Subactiviteit, 29) & ""_"" & LEFT('Activiteit Code -#', 29)",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'AN Subactiviteit L5', 'AN Subactiviteit L6', 'FO Subactiviteit L5', 'Count Subactiviteit L5 Code'",LO 05. Load Subactiviteit L5 SIP
Subactiviteit L6 Code,TEXT,"LEFT(Subactiviteit, 28) & ""_"" & LEFT('Activiteit Code -#', 28) & ""_"" & ""L6""",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,'Count Subactiviteit L6 Code',LO 05. Load Subactiviteit L5 SIP
Activiteit,TEXT,#Load Subactiviteit SIP.Activiteit,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Activiteit Code,TEXT,#Load Subactiviteit SIP.Activiteit Code,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'Activiteit Code -#', FO Activiteit",LO 05. Load Subactiviteit L5 SIP
Activiteit Code -#,TEXT,"SUBSTITUTE(Activiteit Code, ""#"", """")",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'Subactiviteit L5 Code', 'Subactiviteit L6 Code', AN Activiteit",LO 05. Load Subactiviteit L5 SIP
Eenheid,TEXT,#Load Subactiviteit SIP.Eenheid,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"AN Eenheid, FO Eenheid",LO 05. Load Subactiviteit L5 SIP
in laatste load?,BOOLEAN,#Load Subactiviteit SIP.In laatste load?,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'AN Subactiviteit L5', AN Activiteit, 'AN Subactiviteit L6', AN Eenheid",LO 05. Load Subactiviteit L5 SIP
---DIMENSIONS---,NONE,,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
AN Subactiviteit L5,LIST,"IF in laatste load? THEN FINDITEM('SIP Subactiviteit L5', 'Subactiviteit L5 Code') ELSE BLANK",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'Update Subactiviteit L5?', 'IM 35. SIP Subactiviteit L5'.Eenheid",LO 05. Load Subactiviteit L5 SIP
AN Activiteit,LIST,"IF in laatste load? THEN FINDITEM('SIP Activiteit L4', 'Activiteit Code -#') ELSE BLANK",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
AN Subactiviteit L6,LIST,"IF in laatste load? THEN FINDITEM('SIP Subactiviteit L6', 'Subactiviteit L5 Code') ELSE BLANK",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,'Update Subactiviteit L6?',LO 05. Load Subactiviteit L5 SIP
AN Eenheid,LIST,"IF in laatste load? THEN FINDITEM(Eenheid, Eenheid) ELSE BLANK",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"Update Eenheid?, 'IM 35. SIP Subactiviteit L5'.Eenheid",LO 05. Load Subactiviteit L5 SIP
---FO---,NONE,,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
FO Subactiviteit L5,BOOLEAN,"ISFIRSTOCCURRENCE('Subactiviteit L5 Code', #Load Subactiviteit SIP)",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,"'Update Subactiviteit L5?', 'Update Subactiviteit L6?'",LO 05. Load Subactiviteit L5 SIP
FO Activiteit,BOOLEAN,"ISFIRSTOCCURRENCE(Activiteit Code, #Load Subactiviteit SIP)",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
FO Eenheid,BOOLEAN,"ISFIRSTOCCURRENCE(Eenheid, #Load Subactiviteit SIP)",None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,Update Eenheid?,LO 05. Load Subactiviteit L5 SIP
---Update---,NONE,,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Update Subactiviteit L5?,BOOLEAN,ISBLANK('AN Subactiviteit L5') AND 'FO Subactiviteit L5',None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Update Subactiviteit L6?,BOOLEAN,ISBLANK('AN Subactiviteit L6') AND 'FO Subactiviteit L5',None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Update Eenheid?,BOOLEAN,ISBLANK(AN Eenheid) AND FO Eenheid,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
---Technical---,NONE,,None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Heading1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Count Subactiviteit L5 Code,NUMBER,LENGTH('Subactiviteit L5 Code'),None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
Count Subactiviteit L6 Code,NUMBER,LENGTH('Subactiviteit L6 Code'),None,#Load Subactiviteit SIP,Not Applicable,Model Calendar,Not Applicable,Normal,1193,,,,,,,,,,false,All Versions,,true,false,false,,,LO 05. Load Subactiviteit L5 SIP
L - Code Subafdeling,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
L - Name Subafdeling,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
L - Code afdeling,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
L - Display name afdeling,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
L - Code afdelingsgroup,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
Name,TEXT,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
TECH,NONE,,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Summary1,,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
Item,LIST,ITEM('#Load L6 Subafdeling'),None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,"List name, Code",LO 06. Subafdeling
List name,TEXT,NAME(Item),None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,Create?,LO 06. Subafdeling
Code,TEXT,CODE(Item),None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,"Code created, Map?",LO 06. Subafdeling
Parent Code Load,TEXT,'#Load L6 Subafdeling'.Parent code,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,"AN Parent on code, 'Parent does not exist?', Remap?",LO 06. Subafdeling
Parent Display Name in DH,TEXT,'#Load L6 Subafdeling'.Parent name,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,AN Parent on name,LO 06. Subafdeling
Code created,TEXT,"Code & ""_L6""",None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,AN Subafdeling,LO 06. Subafdeling
AN Parent on code,LIST,"FINDITEM('Afdeling L5', Parent Code Load)",None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,"AN Parent final, 'Parent does not exist?'",LO 06. Subafdeling
AN Parent on name,LIST,"FINDITEM('Afdeling L5', Parent Display Name in DH)",None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,"AN Parent final, Parent code, 'Parent does not exist?'",LO 06. Subafdeling
AN Parent final,LIST,IF ISNOTBLANK(AN Parent on code) THEN AN Parent on code ELSE AN Parent on name,None,#Load L6 Subafdeling,Not Applicable,Model Calendar,Not Applicable,Normal,147,,,,,,,,,,false,All Versions,,true,false,false,,,LO 06. Subafdeling
