,Local Controller,Local Controller (DB/TS),MJP Manager,KPI Controller,Read Only (RO),Check Access? (read if updated)
└ FI 07b. User Filters - MJP Drivers L6 & Time,Write,Write,Write,None,Read,Read
└ FI 07c. User Filters - Afdeling L5,Write,Write,Write,None,Read,Read
└ FI 07d. User Filters - Afdeling L5 SS,Write,Write,Write,None,Read,Read
└ FI 07d. User Filters - Afdeling L5 DB/TS,Write,Write,Write,None,Read,Read
└ FI 07e. User Filters - KPI,Write,Write,Write,None,Read,Read
└ FI 07f. User Filters - Account,Write,Write,Write,None,Read,Read
└ FI 07g. User Filters - COEA,Write,Write,Write,None,Read,Read
└ FI 07h. User Filters - Kostencategorie,Write,Write,Write,None,Read,Read
└ FI 07i. User Filters - COEA-KP-ACC,Write,Write,Write,None,Read,Read
└ FI 07j. User Filters - Import Scenario,Write,Write,None,None,Read,Read
└ FI 07k User Filters - Subafdeling L6,Write,Write,None,None,Read,Read
└  FI 07l. User Filters - Tafel L2,Write,Write,None,None,Read,Read
└  FI 07m. User Filters - Activiteit L4 + (UMD),Write,Write,None,None,Read,Read
└  FI 07n. User Fitlers - Afdeling + Support list,Write,Write,None,None,Read,Read
└  FI 07p. User Filters - Accounts Active SS,Write,Write,None,None,Read,Read
└  FI 07q. User Filters -Kostensoort,Write,Write,None,None,Read,Read
└  FI 07r. User Filters - Thema L3++ & Afdeling,Write,Write,None,None,Read,Read
└  FI 07s. User Filters - COEA Euros,Write,Write,None,None,Read,Read
└  FI 07t. User Filters - Thema,Write,Write,None,None,Read,Read
└  FI 07t. User Filters - Thema L3++,Write,Write,None,None,None,None
└ FI 07u. User Filters - MJP Drivers L6 - Budget,Write,Write,None,None,Read,Read
└ FI 07v. User Filters - KPI_Afdelingen,Write,Write,None,None,Read,Read
└ FI 07w. User Filters - Dummy Afdelingen,Write,Write,None,None,Read,Read
└ FI 07x. User Filters - Allocation Thema/Afdeling/COEA,Write,Write,None,None,Read,Read
└ FI 07y. User Filters - Allocation Activiteiten/Afd./COEA,Write,Write,None,None,Read,Read
└ FI 07z. User Filters - Inflation Selection IP10d,Write,Write,Write,None,Read,Read
└ FI 07aa. User Filters - Inflation List Selection,Write,Write,None,None,Read,Read
└ FI 07ab. User Filters - Inflation Selection RP20,Write,Write,None,None,Read,Read
└ FI 07ac. User Filters - Suppress Zeroes RP14,Write,Write,None,None,Read,Read
└ FI 07ad. User Filters - Suppress Zeroes RP13,Write,Write,None,None,Read,Read
└ FI 07ae. User Filters - Suppress Zeroes CA 35c,Write,Write,None,None,Read,Read
└ FI 07af. User Filters - Suppress Zeroes IP 10a NEW,Write,Write,Write,None,Read,Read
└ FI 07ag. User Filters - Suppress Zeroes OPEX,Write,Write,None,None,Read,Read
└ FI 07ah. User Filters - Suppress Zeroes CAPEX,Write,Write,None,None,Read,Read
└ FI 07ai. User Filters - Activiteit_kostenplaats,Write,Write,None,None,Read,Read
└ FI 07aj. User Filters - Suppress Zeroes RP15,Write,Write,None,None,Read,Read
└ FI 07ak. User Filters - Suppress Zeroes IP 35,Write,Write,None,None,None,None
└ FI 07al. User Filters - Suppress Zeroes RP 29,Write,Write,None,None,None,None
└ FI 07am. Suppress Zeroes CA 35e.,Write,Write,None,None,None,None
└ FI 07an. User Filters MJP Versions - COEA-MJP-ACC,Write,Write,None,None,None,None
└ FI 07ba. User Filters - Rekeningcategorie,Write,Write,None,None,Read,Read
└ FI 07bb. User Filters - OPEX Type,Write,Write,None,None,Read,Read
└ FI 07bc. User Filters - Product,Write,Write,None,None,Read,Read
└ FI 07bd. User Filters - Regio,Write,Write,None,None,Read,Read
FI 09. Driver DB Filter,Write,Write,None,None,Read,Read
FI 11. Activiteit L4 +,Write,Write,None,None,Read,Read
FI 16. Filter Prestatiesoort,None,None,None,None,None,None
FI 15. Netverder dashboarding,Write,Write,None,None,None,None
⠀⠀⠀       ◼️ Information Modules,Read,Read,Write,None,Read,Read
IM 99. Lookup lists,Read,Read,Write,None,Read,Read
IM 00. Images,Read,Read,Write,None,Read,Read
IM 00. Trainingen,Read,Read,None,None,Read,Read
IM 01. Account L12,Read,Read,Write,None,Read,Read
└ IM 01a. Account L12 - used,Read,Read,Write,None,Read,Read
IM 04. Entiteit,Read,Read,Write,None,Read,Read
IM 05a. Afdelingsgroep,Read,Read,Write,None,Read,Read
IM 05b. Afdeling - Do not use,Read,Read,None,None,Read,Read
IM 05c. Subafdeling,Read,Read,None,None,Read,Read
IM 06b. SS Budget MJP Kostenplaats,Read,Read,None,None,Read,Read
IM 07. Import Scenario's,Read,Read,Write,None,Read,Read
IM 08. Product,Read,Read,Write,None,Read,Read
IM 09. FTE Type L1,Read,Read,Write,None,Read,Read
IM 10. FTE Type L2,Read,Read,Write,None,Read,Read
IM 13. Afdeling L5,Read,Read,Write,None,Read,Read
IM 14. Risico's  & Kansen,Read,Read,Write,None,Read,Read
IM 15. Risico & Kansen soorten,Read,Read,Write,None,Read,Read
IM 16. Users,Read,Read,Write,None,Read,Read
IM 18. KPI Informatie,Read,Read,Write,Read,Read,Read
IM 19. DB/TS Items,Read,Read,None,None,None,None
MA 13. R&K Mapping,Read,Read,Write,None,Read,Read
IM 19. COEA,Read,Read,Write,None,Read,Read
IM 20. COEA-KP-ACC,Write,Write,Write,Write,Write,Write
IM 24. Dummy Afdelingen,Read,Read,Write,None,Read,Read
IM 26. SIP Planvarianten,Read,Read,None,None,Read,Read
IM 27. Thema L3 Verrijking,Read,Read,Write,None,Read,Read
IM 29. User filter,Read,Read,Write,None,Read,Read
IM 33. Rekeningcategorie,Read,Read,None,None,Read,Read
IM 34. SIP Activiteit L4,Read,Read,None,None,Read,Read
IM 35. SIP Subactiviteit L5,Read,Read,None,None,Read,Read
IM 36. SIP Subactiviteit L6,Read,Read,None,None,Read,Read
IM 37. SIP Activiteit L4 +,Read,Read,None,None,Read,Read
IM 38. Tafel L2,Read,Read,None,None,Read,Read
IM 39. Thema L3,Read,Read,None,None,Read,Read
IM 40 Thema L3+,Read,Read,None,None,Read,Read
IM 41. Thema L3 ++,Read,Read,None,None,Read,Read
IM 42. SPIN KPI's,Read,Read,None,Read,Read,Read
IM 43. KPI_Afdeling,Write,Write,None,Read,Read,Read
IM 44 LIS (CA 24) Kostencategorieen voor Uurtariefen,Read,Read,None,None,Read,Read
IM 45 LIS (CA 24) Kostencategorieen voor Uurtariefen no time,Read,Read,None,None,None,None
IM 46. Regio,None,None,None,None,None,None
IM 47. Prestatiesoorten,Read,Read,None,None,Read,Read
IM 52. LIS Budgetitems,Read,Read,Write,None,Read,Read
IM 59. Datum proces run,Read,Read,Write,None,Read,Read
IM 60. Period dummy values,Read,Read,None,None,Read,Read
IM 61. IKT items,Read,Read,None,None,Read,Read
IM 62 Kostenplaats,Read,Read,None,None,Read,Read
IM 63. DB/TS,Read,Read,None,None,Read,Read
IM 64. Eenheid,Read,Read,None,None,Read,Read
IM 65. Activiteit L4+_Kostenplaats,Write,Write,Write,Write,Write,Write
IM 99. Afdelingskosten Split,Read,Read,None,None,Read,Read
IM 66. OPEX/CAPEX,Read,Read,None,None,None,None
IM 67. LIS (IP 10d) Waarde Selectie,Read,Read,None,None,None,None
IM 68. LIS (RP 20) Waarde Selectie,Read,Read,None,None,None,None
IM 69. Inflatie,Read,Read,None,None,None,None
IM 70. Kostensoort (Inflatie Mapping),Read,Read,Write,None,Read,Read
IM 71. Support List Dep,Read,Read,Write,None,Read,Read
IM 72. IAS 16 Inflatie,Read,Read,None,None,Read,Read
IM 73. Mapping DA 45 -> Kostencategorie,Read,Read,None,None,Read,Read
IM 74. LIS CA21 Mappings,Read,Read,None,None,Read,Read
IM 75. LIS CA23 Mappings,Read,Read,None,None,Read,Read
IM 76. Grouping SAP BPC to COEA,Read,Read,None,None,Read,Read
IM 77. UMDT Items to CA21 SS & CA 23 SS,Read,Read,None,None,Read,Read
⠀⠀⠀       ◼️ Mapping Modules,None,None,Write,None,Read,Read
== Keep ==,None,None,None,None,None,None
MA 01. SPIN -  Organisatie -> Afdeling L5,Read,Read,None,None,Read,Read
MA 02. Mapping Thema verrijking -> SIP,Read,Read,None,None,Read,Read
MA 03. LIS DA04 to Rekeningcategorie,Read,Read,None,None,Read,Read
MA 04. Mapping Rekeningcategorie naar COEA,Read,Read,None,None,Read,Read
MA 05. Automatische allocatie,None,None,None,None,None,None
MA 06. NEW. COEA -> Rekeningcategorie,Read,Read,None,None,Read,Read
