,Local Controller,Local Controller (DB/TS),MJP Manager,KPI Controller,Read Only (RO),Check Access? (read if updated)
DA 30f. Actuals/LE Input  from ACBULE UMDT Extern load.csv,false,false,false,false,false,false
PK.01 Load Tarieven into LO10,false,false,true,false,false,false
PK.02 Update IP 10f from LO10,false,false,true,false,false,false
Users from User_testMJP.csv,false,false,true,false,false,false
L3+ 01. SIP Thema L3+ list creation from input,true,true,true,false,false,false
L3+ 02. SIP Thema L3++ list creation from input,true,true,true,false,false,false
L3+ 03. L3++ Delete input,true,true,true,false,false,false
L3+ 04. Create SIP Thema L3++ Extern,false,false,false,false,false,false
MJP Kostenplaats L7 from Load kostenplaatsen budget IM 62..c,false,false,true,false,false,false
CA 32. Toeslag Indirect Subload,true,true,true,false,false,false
TMP Update IP 10a Eigen Invoer from IP 10a input.txt,false,false,false,false,false,false
TMP Update IP 10c Overwrite? from IP 10d input.txt,false,false,false,false,false,false
TMP Update IP 10d Overwrite waarde from IP 10d input.txt,false,false,false,false,false,false
IP10. Update Cijfers,true,true,true,false,false,false
IM 43. KPI_Afdeling from SPIN Update - BC + Strategisch them,false,false,false,false,false,false
MA 61. Kostenplaats L7 mapping,false,false,false,false,false,false
ACKO01 Load to L Activiteit_Kostenplaats,true,true,false,false,false,false
ACKO02 Load IM to IM Activiteit_Kostenplaats,true,true,false,false,false,false
SUB 02. #Load L6 Subafdeling from Data Hub( IM 07.3),false,false,false,false,false,false
SUB 03. #Load into LO 06. from Data Hub( IM 07.3),false,false,false,false,false,false
SUB 04. Update Subafdeling L6 list,false,false,false,false,false,false
TEMP IP 11. IC input update account,false,false,false,false,false,false
Prestatiesoorten import from DH IM20.1,false,false,false,false,false,false
TEMP Send inputs from IP 10a to IP 10a NEW,false,false,false,false,false,false
TEMP Send inputs from IP 10 to IP 10 NEW,false,false,false,false,false,false
TEMP Send inputs from MA 15 to MA 15 NEW,false,false,false,false,false,false
TEMP Send inputs from CA 11 to CA 11 NEW,false,false,false,false,false,false
TEMP Send inputs from IP 10F to IP 10F NEW,false,false,false,false,false,false
TEMP Send inputs from IP 10F NEW to IP10x1,false,false,false,false,false,false
TEMP Copy input to new LI IP 11,false,false,false,false,false,false
TEMP create new KPI_Afdeling codes - step 1,false,false,false,false,false,false
TEMP update new KPI_Afdeling codes - step 2,false,false,false,false,false,false
Subload Totaal IP 10x2. NEW,true,true,true,false,false,false
Subload Totaal IP 10a. NEW,true,true,true,false,false,false
TEMP Send inputs from MA 51 to MA 51 Version,false,false,false,false,false,false
TEMP Send inputs from MA 61 to MA 61 Version,false,false,false,false,false,false
IP 05 - Load previous version,false,false,false,false,false,false
Load productieve uren from SRT EX 500.1,false,false,false,false,false,false
LOO 01. Loonkosten - create #Load loonkosten from csv.,false,false,false,false,false,false
LOO 02. Import loonkosten data from csv.,false,false,false,false,false,false
LOO 03. Subload loonkosten per Afdeling from LO 12.1,false,false,false,false,false,false
LOO 04. Subload loonkosten per Subafdeling from LO 12.2,false,false,false,false,false,false
Import into KPI_Afdeling,false,false,false,false,false,false
◼️ RUN IN PROD TO ENABLE CLEANUP,false,false,false,false,false,false
IM 13. Afdeling L5 from MJP - PROD / MA 05. Mapping Afdeling,false,false,false,false,false,false
IM 19. COEA from MJP - PROD / MA 09. Mapping OPEX/CAPEX en C,false,false,false,false,false,false
IM 33. Rekeningcategorie from MJP - PROD / MA 10. Kostencate,false,false,false,false,false,false
IM 04. Entiteit from MJP - PROD / MA 14. Mapping IC code en,false,false,false,false,false,false
TEMP Update IM 01 Overige personeelskosten,false,false,false,false,false,false
TEMP Update IP 34,false,false,false,false,false,false
TEMP Update CA 25,false,false,false,false,false,false
TEMP Update IM 44,false,false,false,false,false,false
TEMP Update IM 45,false,false,false,false,false,false
TEMP Upload to IP 11,false,false,false,false,false,false
Subafdeling L6 from MJP - Dev / 'IM 05c. Subafdeling'.'IM 05,false,false,false,false,false,false
Subafdeling L6 from MJP - Dev / 'IM 05c. Subafdeling'.'IM ~1,false,false,false,false,false,false
Exports,,,,,,
Other Actions,,,,,,
KPI. 02.01 Sortering,false,true,true,false,false,false
5.2,false,false,false,false,false,false
TEMP - Delete Thema L3++ Extern,false,false,false,false,false,false
KOS 01. Clear #Load L7 Kostenplaats,false,false,false,false,false,false
SUB 01. Delete all #Load L6 Subafdeling,false,false,false,false,false,false
Delete inactive L4 members,false,false,false,false,false,false
Delete inactive L4+ members,false,false,false,false,false,false
Order accountlist L12,false,false,false,false,false,false
> Clear SPIN KPI list,false,false,false,false,false,false
> Clear SPIN waardes list,false,false,false,false,false,false
Delete from Uni-code COEA-MJP-ACC,true,true,true,false,false,false
Order Kostenplaats,false,false,false,false,false,false
Clear #Load Tafel/Thema SIP list,false,false,false,false,false,false
Manueel - Werwijder geselecteerde KPI's,false,false,true,false,false,false
Manueel - Delete Activiteit,true,true,true,false,false,false
Manueel - Delete Thema,false,false,true,false,false,false
Manueel - Delete Tafel,false,false,true,false,false,false
Delete Thema L3 Verrijking,false,false,true,false,false,false
Delete Account L12 from IM01,false,false,true,false,false,false
Copy Version,false,false,true,false,false,false
Create Version,false,false,true,false,false,false
Delete Version,false,false,true,false,false,false
